              Calculation from 1960 to 2012
  -----------
  R = 0.662
  Glk = 67.925
  RMSE =0.158
  -----------
  year  model    crn     NMOD    NCRN   DTmin   SOS   EOS   DOS    Tem1   Tem2  Cumul.Gr  Tem  Prec Both
  1960  1.1967  1.4015  1.4314  1.9339    57     61   289   229   68.40   85.70  126.84   132   29   68
  1961  1.0381  0.7965  0.2770 -0.9169    65     75   308   234   67.40   87.50  110.02   111   92   31
  1962  0.8921  1.2017 -0.7855  0.9925    93     95   306   212   75.20   87.50   94.55   104   72   36
  1963  1.0550  0.8986  0.4001 -0.4358    76    108   325   218   66.00   84.90  111.82   118   60   40
  1964  1.1089  0.9590  0.7922 -0.1510    58     84   296   213   67.90   85.40  117.53    87   64   62
  1965  0.6620  0.7492 -2.4598 -1.1399    81     83   313   231   74.20   84.80   70.16   105  126    0
  1966  1.1692  1.0213  1.2309  0.1422    29    113   301   189   70.00   92.10  123.92    84   25   80
  1967  0.9608  0.5978 -0.2853 -1.8532    58     63   324   262   66.10   84.20  101.83   168   71   23
  1968  1.0361  0.9830  0.2627 -0.0382    87    112   314   203   67.70   86.60  109.81    75   90   38
  1969  1.0610  1.3075  0.4442  1.4908    77    113   312   200   71.20   86.50  112.46   132   27   41
  1970  0.9948  0.9310 -0.0377 -0.2829   107    109   317   209   72.40   90.80  105.44    89   61   59
  1971  1.1258  0.9989  0.9156  0.0369   105    109   310   202   71.20   88.20  119.32   126   26   50
  1972  1.1141  1.2254  0.8303  1.1042    90     94   319   226   67.90   87.50  118.08   152    0   74
  1973  1.0833  1.0930  0.6062  0.4801    97    121   315   195   69.10   88.60  114.82   109   54   32
  1974  1.0472  1.0367  0.3438  0.2151    16    132   284   153   66.80   84.20  111.00    60   14   79
  1975  1.0788  0.9432  0.5734 -0.2257   108    111   311   201   69.90   95.90  114.34   127    0   74
  1976  0.9981  1.2259 -0.0137  1.1066    93    127   295   169   71.60   91.40  105.79    55   72   42
  1977  1.1950  1.1559  1.4188  0.7767    64     66   321   256   71.50   86.00  126.65   161   45   50
  1978  1.0483  0.9784  0.3513 -0.0599    55    132   314   183   68.70   86.00  111.11   104   17   62
  1979  0.6987  0.5044 -2.1928 -2.2931    40    131   314   184   68.20   86.20   74.05    51  116   17
  1980  1.0464  1.0860  0.3373  0.4471    89     91   311   221   68.60   84.50  110.90   141   26   54
  1981  1.0225  0.9512  0.1636 -0.1879    69     71   317   247   70.80   86.20  108.37   119   85   43
  1982  0.8897  0.9739 -0.8025 -0.0811    97    100   317   218   68.30   88.30   94.30    97   90   31
  1983  0.9317  0.9090 -0.4973 -0.3870    61     80   336   257   69.20   84.60   98.75   129   96   32
  1984  0.8532  0.8630 -1.0680 -0.6036    92    101   318   218   68.40   84.10   90.43   118   73   27
  1985  0.9104  1.1721 -0.6518  0.8530    40     44   321   278   68.80   86.30   96.50   151   86   41
  1986  0.6626  0.7065 -2.4554 -1.3409    83    127   305   179   66.20   87.80   70.22    43  127    9
  1987  1.0353  0.9317  0.2567 -0.2799    63     65   318   254   69.70   90.90  109.73   152   63   39
  1988  1.0929  0.9629  0.6759 -0.1328    79     81   325   245   70.50   88.40  115.83   151   63   31
  1989  1.0760  1.2055  0.5527  1.0102    66     71   353   283   66.40   87.20  114.04   178   91   14
  1990  1.0519  0.9748  0.3774 -0.0769    44     53   325   273   68.90   84.70  111.49   155   77   41
  1991  0.8648  0.9224 -0.9837 -0.3236    64     79   311   233   66.20   84.80   91.66   151   55   27
  1992  1.1309  1.4397  0.9529  2.1138    80    112   321   210   67.00   86.10  119.87   127    7   76
  1993  0.8928  0.8703 -0.7800 -0.5690    79     81   312   232   73.00   85.10   94.63   134   59   39
  1994  0.7866  0.6663 -1.5531 -1.5305    63     72   330   259   68.70   86.70   83.37   137   85   37
  1995  1.1730  0.8448  1.2592 -0.6892    46     96   328   233   70.00   85.70  124.33   105   77   51
  1996  0.9134  0.8526 -0.6303 -0.6523    85     87   318   232   71.60   84.40   96.81    91  117   24
  1997  1.1958  1.5805  1.4249  2.7772    51     60   315   256   66.50   87.90  126.74   119   85   52
  1998  0.9787  0.8987 -0.1552 -0.4354    47     51   316   266   68.30   88.30  103.73   164   70   32
  1999  0.9672  0.9467 -0.2384 -0.2090    58     96   313   218   66.80   88.90  102.52    80   93   45
  2000  0.9195  0.9964 -0.5856  0.0252    66     72   308   237   66.20   87.40   97.46   111   81   45
  2001  0.8599  0.7946 -1.0193 -0.9256    68     69   312   244   74.10   86.60   91.14   101  112   31
  2002  1.1751  1.0389  1.2742  0.2253    74     79   319   241   68.80   85.90  124.55   147   54   40
  2003  1.0217  1.0983  0.1576  0.5050    64     71   320   250   68.60   87.00  108.28   169   49   32
  2004  1.0766  1.1022  0.5577  0.5236    78     81   312   232   71.50   88.20  114.11   137   61   34
  2005  0.7498  0.7182 -1.8208 -1.2857    78     80   314   235   68.30   90.30   79.47    78  146   11
